,RMSE,RMAE,R2,RSR,MAPE,NMBE
0,6.92186961112781,2.45953506497535,0.811614724930296,0.15052372710293,13.5112017828451,-4.70486017816829
1,9.99413365666981,2.94577846389486,0.656635467464326,0.164359488080107,18.7807937758627,-0.259296183979351
2,10.1735846751818,2.8629052041795,0.890843640703446,0.100305398282596,17.9495610345288,10.6840959243932
3,7.97725058131059,2.42088971631245,0.897866456033997,0.11532015288467,12.3302287693691,-3.60673097784648
4,6.74485944493627,2.34619607420646,0.91461630811659,0.102304789959175,14.5376667794648,-0.610507991432056
5,7.85915044309596,2.51528571241909,0.690709000604777,0.19616055373554,11.8026436895044,-6.05001888507507
6,5.89395990226915,2.23446068635915,0.901463246284186,0.127439010054162,12.6952938582031,4.05283037426072
7,6.28372034018353,2.23926062503837,0.911177758374805,0.120140709990179,11.2288782354194,-1.10848694000075
8,7.00096448393634,2.54287709464701,0.882520902673627,0.132604457421337,17.2450828389349,6.23124801986726
9,6.49999395742158,2.30706312263779,0.810585525927464,0.181712990966101,10.5650197465739,-0.663121563069569
