,RMSE,RMAE,R2,RSR,MAPE,NMBE
0,4.155895974003987,1.7710677872321663,0.9320906674802121,0.11105426617314464,7.340379771228134,-2.6909262721653624
1,6.798332042600203,2.3203168237076914,0.8411197656473721,0.13604414398718873,11.416033644231058,-5.329051071614783
2,7.79047075698823,2.338543391633429,0.935992857768908,0.07594443398363575,9.6783557276496,-1.9660818531373137
3,7.581811902450737,2.4248242034541683,0.9077411695470085,0.09714293593239574,12.318333235025802,-3.560102594523571
4,4.588062092359062,1.8865004397611609,0.9604917589399705,0.08172811295484673,9.279235434270307,-0.24356179105919062
5,6.097846032284118,2.173356102945286,0.8138045833930228,0.15379383607263084,9.566966683561638,1.2185576319354665
6,5.368186494948459,1.960956286693768,0.9182591618001962,0.10443831607723757,9.211376504477817,-2.6481144911953205
7,6.693106362160249,2.303923590420319,0.8992271628489734,0.10927280413090051,12.412541459510514,-2.606081354009525
8,6.851116704753224,2.236312423564845,0.8874960986336173,0.10948507052081641,11.394311717780806,-0.12385991387091182
9,6.236878441739523,2.189804291655395,0.8256099043387322,0.14662192967279442,9.78241838870998,-1.9663212826821101
