,0_fold,1_fold,2_fold,3_fold,4_fold,5_fold,6_fold,7_fold,8_fold,9_fold
0,"[29.191      66.683      80.5        31.2656098  26.9563848  42.27654152
 66.51       64.0076     38.2        56.21       26.83227912 67.0743
 40.80106288 57.01       37.07789248 31.79650632 42.75       33.65
 38.2        64.2442     34.04419808]","[36.20915272 75.8        64.38114208 39.4359004  60.71       56.21
 26.83227912 67.047      50.3303     28.19       42.1248568  35.47
 26.81       31.27939932 42.69022712 87.9        57.31       72.257
 40.0564288  51.2        35.834     ]","[ 41.149      108.5         35.9195728   35.1697      38.655
  29.1         90.91       101.51        40.0564288   57.583
  28.322       47.391       30.4         66.683       45.62050012
  95.4         31.958       66.8        128.61       104.5
  38.725     ]","[ 60.71        29.3006032   85.31        35.1697      52.41873348
  40.03574452  87.9         38.655       37.07789248  20.17883572
  46.0897      91.87        46.35134468 111.11        40.5
  44.          26.42548828  38.321       90.91        35.
  35.743     ]","[ 28.322       40.0564288   49.575      106.11        40.80106288
  37.28473528  68.321       35.47        38.49131828  56.21
  32.2998238   60.2         50.485       38.2         53.61
  67.138       17.00724612  32.65835132 108.5         21.365
  54.58      ]","[55.308      58.22       81.1        56.51       59.2756     35.834
 52.487      52.259      67.047      38.5003     30.829      28.645601
 54.4        53.61       61.21       42.69022712 56.4        56.21
 47.937      89.31       56.4       ]","[53.67       47.5        32.74       58.8297     56.51       91.2
 31.2656098  43.9        67.047      42.27654152 25.24648432 39.4359004
 38.49131828 72.257      22.184      25.69464372 56.4        37.28473528
 81.21       67.138      68.61      ]","[ 51.577      108.5         59.632       28.322       52.305
 104.5         44.57        38.2         59.2756      35.47
  35.743       46.845       46.07555428  57.583       65.864
  45.62050012  22.184       56.21        40.80106288  35.6782562
  33.7477234 ]","[ 41.149       45.31        21.365       37.07789248  31.83
  47.937       45.62050012  67.138       71.6         25.24648432
  20.17883572 111.11        28.645601    64.2442      44.
  32.74        47.51        57.583       26.42548828  38.321
  50.485     ]","[44.57       67.047      46.35134468 65.864      31.83       42.69022712
 40.80106288 50.3303     55.30763792 38.5003     31.2656098  81.1
 26.643      81.21       57.583      51.577      38.321      49.575
 54.4        49.302      71.14      ]"
1,"[26.0949034  65.29122578 78.10666    32.30003064 30.3729853  41.14979984
 65.42249241 58.056552   37.11303021 46.45950435 33.96310966 58.149402
 39.04521612 57.053094   38.92658448 36.97481582 43.91116363 32.391288
 37.14543025 59.081264   32.02794188]","[24.12915726 69.544751   53.80906183 38.71753536 61.950804   41.60827286
 32.77111699 65.99272638 52.653073   31.687494   43.32827177 29.40871842
 29.98976    33.81688497 46.82715552 77.607482   59.886045   61.815746
 42.56013013 41.11855    34.06816491]","[ 48.10414     90.08518345  35.44162804  36.79889741  37.97626971
  32.04303351  86.1417     101.279       41.82886475  49.06192029
  32.47937     51.48331489  41.48415     65.231742    47.99360756
  85.02638345  32.94497     62.699866   108.4918     103.7974
  47.73809   ]","[ 60.727692    29.36500026  78.90317     36.41100204  41.83533882
  36.66087626  77.59923     40.55663925  32.15102399  20.08858331
  40.88174007  82.87684     34.08816596 106.9249      37.47289
  57.264675    29.84790925  31.82405     85.5715      53.719356
  39.391796  ]","[ 32.7702      43.59750859  51.913223   106.6523      40.23484958
  37.27044574  62.917652    30.12391589  37.50984919  48.55129875
  33.89582284  64.6249      49.361878    37.036019    54.453686
  60.954953    23.36476642  36.76142452  98.30949     29.20483548
  54.65098   ]","[52.959863   65.604044   71.881855   54.67628671 65.186765   36.80786745
 55.755112   53.78596657 66.101017   46.73658163 45.31758881 30.65270735
 63.10421077 52.92062733 59.03874    46.61773752 56.478988   47.11721984
 42.79373634 79.67715    54.789334  ]","[52.180696   53.71827135 31.746644   54.976701   55.27376135 89.4235
 31.23182548 37.60445    65.95622    42.49779437 27.05855967 41.76099638
 39.75924726 61.045533   36.69522372 21.43905995 52.252449   36.71086047
 76.6629     63.598341   59.25725506]","[ 53.360176    98.47216385  44.05074     33.04111     48.92505087
 100.9143      47.674426    38.58857723  64.672963    28.72998058
  38.94647988  51.038875    40.69840099  48.87821035  63.782466
  48.78235018  38.04117     49.54252885  39.19661047  33.236408
  30.27942187]","[ 45.78500821  46.29387483  28.8551448   38.456155    31.05013
  40.48780527  50.05651976  62.15451925  57.96846851  27.51244173
  20.52943427 105.7205      31.49794139  60.462084    63.532814
  32.109097    52.23923842  46.43472152  29.68995743  33.57739
  49.920254  ]","[53.94412035 66.65399    34.47718901 64.07997287 31.03846075 44.7323858
 39.53650858 52.699331   49.2424957  51.54395692 32.31733649 69.950818
 30.33586399 72.580086   51.28132569 52.784051   30.80087    50.487
 60.48444821 48.02675818 67.265528  ]"
