,0_fold,1_fold,2_fold,3_fold,4_fold,5_fold,6_fold,7_fold,8_fold,9_fold
0,"[29.191      66.683      80.5        31.2656098  26.9563848  42.27654152
 66.51       64.0076     38.2        56.21       26.83227912 67.0743
 40.80106288 57.01       37.07789248 31.79650632 42.75       33.65
 38.2        64.2442     34.04419808]","[36.20915272 75.8        64.38114208 39.4359004  60.71       56.21
 26.83227912 67.047      50.3303     28.19       42.1248568  35.47
 26.81       31.27939932 42.69022712 87.9        57.31       72.257
 40.0564288  51.2        35.834     ]","[ 41.149      108.5         35.9195728   35.1697      38.655
  29.1         90.91       101.51        40.0564288   57.583
  28.322       47.391       30.4         66.683       45.62050012
  95.4         31.958       66.8        128.61       104.5
  38.725     ]","[ 60.71        29.3006032   85.31        35.1697      52.41873348
  40.03574452  87.9         38.655       37.07789248  20.17883572
  46.0897      91.87        46.35134468 111.11        40.5
  44.          26.42548828  38.321       90.91        35.
  35.743     ]","[ 28.322       40.0564288   49.575      106.11        40.80106288
  37.28473528  68.321       35.47        38.49131828  56.21
  32.2998238   60.2         50.485       38.2         53.61
  67.138       17.00724612  32.65835132 108.5         21.365
  54.58      ]","[55.308      58.22       81.1        56.51       59.2756     35.834
 52.487      52.259      67.047      38.5003     30.829      28.645601
 54.4        53.61       61.21       42.69022712 56.4        56.21
 47.937      89.31       56.4       ]","[53.67       47.5        32.74       58.8297     56.51       91.2
 31.2656098  43.9        67.047      42.27654152 25.24648432 39.4359004
 38.49131828 72.257      22.184      25.69464372 56.4        37.28473528
 81.21       67.138      68.61      ]","[ 51.577      108.5         59.632       28.322       52.305
 104.5         44.57        38.2         59.2756      35.47
  35.743       46.845       46.07555428  57.583       65.864
  45.62050012  22.184       56.21        40.80106288  35.6782562
  33.7477234 ]","[ 41.149       45.31        21.365       37.07789248  31.83
  47.937       45.62050012  67.138       71.6         25.24648432
  20.17883572 111.11        28.645601    64.2442      44.
  32.74        47.51        57.583       26.42548828  38.321
  50.485     ]","[44.57       67.047      46.35134468 65.864      31.83       42.69022712
 40.80106288 50.3303     55.30763792 38.5003     31.2656098  81.1
 26.643      81.21       57.583      51.577      38.321      49.575
 54.4        49.302      71.14      ]"
1,"[26.06264202 74.45373171 77.31325506 28.85242998 32.13356082 37.37315958
 59.884697   55.86547188 34.81911492 43.75008558 36.95224962 54.95359444
 38.80231151 46.68327918 39.12588892 38.49148937 34.55178788 38.34598906
 42.26814325 55.47804558 33.23406022]","[31.82508609 58.74906291 49.27383175 42.9327873  69.27842274 40.89225161
 38.37878586 75.65196351 47.44086583 25.21312352 39.4342955  29.63074462
 42.46854499 37.30873224 46.44498821 71.73823856 68.37668864 64.13896496
 38.14461898 60.58570827 47.50421406]","[ 49.43159563 116.36926054  41.01429952  38.28622442  48.59005705
  30.38769622  94.94901015 106.14998395  40.49807102  60.72156786
  46.90098845  50.71920948  51.93929444  76.43884642  49.71817152
 110.33250019  48.0601375   65.24388952 111.57378186 112.30126253
  48.27244659]","[ 61.86436617  24.68840675  89.60525317  31.00118754  36.5748267
  35.60656246  75.00788506  42.77843566  32.83791486  18.73648573
  41.8335564   78.91591411  32.66941528 110.34904737  59.54848672
  50.32115693  25.63502157  42.85533269  90.57640246  37.34821821
  34.89881824]","[ 40.69693356  37.24713693  44.41768366 105.41023106  38.14391751
  38.40909376  74.51381073  27.12469235  37.50284329  42.27573996
  30.33409939  64.5724307   55.07505313  42.02950881  44.45053636
  55.8985175   28.24215668  37.9362078  110.68041265  24.82188081
  50.57303529]","[48.34472583 61.52554771 66.31988673 43.44696044 63.35946428 43.6772361
 53.89838903 47.64152971 72.24540519 38.63907971 26.97958279 30.62810144
 47.08232582 42.61997977 60.63290473 45.04013864 62.20718466 41.41634373
 32.8068183  83.94966634 53.10318794]","[55.50586575 51.06163382 42.64975437 57.37073054 49.55356161 87.28677254
 31.94400142 52.14977623 74.97792005 39.9480297  33.93191782 43.43182488
 42.72362464 65.02016817 33.44083312 30.49726165 55.12708442 42.98409965
 83.60773352 59.33786836 69.25552442]","[ 51.20880729 115.67755129  47.14749987  39.73655385  54.56749726
 101.84098044  48.95488061  34.71660378  64.92992252  29.36808811
  36.82487599  42.44476479  40.18015486  59.21409434  55.70036338
  49.38025706  29.6644189   44.18909123  39.80501744  36.72593756
  34.57989543]","[ 47.27219356  41.22169927  28.11716554  43.76319554  29.37217519
  37.66766482  49.32764958  59.35691798  64.38961251  33.93419624
  26.05501146 116.1999572   34.95167055  62.70431223  55.14882793
  41.1435852   42.73178398  59.99412574  33.20685069  49.82663561
  58.67240535]","[49.95952478 72.29429984 36.31893983 54.92568583 25.90474636 48.11973085
 40.80190639 47.8589213  51.18913743 40.91459531 30.60001817 68.82172661
 28.63174859 82.92729043 63.76478114 53.15379668 47.54490683 45.03549258
 51.47407711 62.45304902 65.58284176]"
