,RMSE,RMAE,R2
ridge,9.626720028012262,2.6905845584032844,0.74404123035565
rf,6.0712674826958555,2.148835474671406,0.8969337058580644
svm,19.921739294626356,3.911347210684723,0.010678777915624072
xgb,5.67690339397952,2.016189259652923,0.9135025086641125
ann,3.5308718359423397,1.5842718607494946,0.9629485188055481
