,Unnamed: 0,RMSE,RMAE,R2,RSR,MAPE,NMBE
0,0,15.37972064256377,3.751264785422819,0.0699698681797865,0.23522191581273016,33.28550256853969,2.138350874658437
1,1,16.459248971324005,3.709913562722392,0.0687095357854555,0.21751857752029366,29.804458479137917,-4.556844133298745
2,2,31.970051470041536,4.914236681647645,-0.0779229161376033,0.1595903349875347,37.06715065366667,-19.991778785021896
3,3,24.51983750526053,4.343193408163091,0.0350671120660786,0.17399634925817456,37.085035605577794,-7.854639579414327
4,4,21.84084283748431,4.033142998326508,0.1047013926544965,0.17472626010630687,38.26437249894049,-3.8402638992809095
5,5,16.411084723713916,3.630281288512228,-0.3486232806690108,0.2568906607749305,23.52544284235613,-17.097151128486253
6,6,18.2342233351545,3.8851089462702553,0.0568984989210068,0.20691651255265814,33.61811952494111,-5.835001530217307
7,7,19.983720653773087,3.6867009331786353,0.1016600096026659,0.1748565580240166,27.27838304311377,-5.689769888113466
8,8,19.623419499126296,3.819235549235903,0.0770158820237031,0.1869815992715686,38.80387900562467,4.523671608012676
9,9,15.2772569291733,3.437604581373799,-0.0463525131439361,0.23017043992377786,23.021739192587567,-9.447798306412992
