,0_fold,1_fold,2_fold,3_fold,4_fold,5_fold,6_fold,7_fold,8_fold,9_fold
0,"[29.191      66.683      80.5        31.2656098  26.9563848  42.27654152
 66.51       64.0076     38.2        56.21       26.83227912 67.0743
 40.80106288 57.01       37.07789248 31.79650632 42.75       33.65
 38.2        64.2442     34.04419808]","[36.20915272 75.8        64.38114208 39.4359004  60.71       56.21
 26.83227912 67.047      50.3303     28.19       42.1248568  35.47
 26.81       31.27939932 42.69022712 87.9        57.31       72.257
 40.0564288  51.2        35.834     ]","[ 41.149      108.5         35.9195728   35.1697      38.655
  29.1         90.91       101.51        40.0564288   57.583
  28.322       47.391       30.4         66.683       45.62050012
  95.4         31.958       66.8        128.61       104.5
  38.725     ]","[ 60.71        29.3006032   85.31        35.1697      52.41873348
  40.03574452  87.9         38.655       37.07789248  20.17883572
  46.0897      91.87        46.35134468 111.11        40.5
  44.          26.42548828  38.321       90.91        35.
  35.743     ]","[ 28.322       40.0564288   49.575      106.11        40.80106288
  37.28473528  68.321       35.47        38.49131828  56.21
  32.2998238   60.2         50.485       38.2         53.61
  67.138       17.00724612  32.65835132 108.5         21.365
  54.58      ]","[55.308      58.22       81.1        56.51       59.2756     35.834
 52.487      52.259      67.047      38.5003     30.829      28.645601
 54.4        53.61       61.21       42.69022712 56.4        56.21
 47.937      89.31       56.4       ]","[53.67       47.5        32.74       58.8297     56.51       91.2
 31.2656098  43.9        67.047      42.27654152 25.24648432 39.4359004
 38.49131828 72.257      22.184      25.69464372 56.4        37.28473528
 81.21       67.138      68.61      ]","[ 51.577      108.5         59.632       28.322       52.305
 104.5         44.57        38.2         59.2756      35.47
  35.743       46.845       46.07555428  57.583       65.864
  45.62050012  22.184       56.21        40.80106288  35.6782562
  33.7477234 ]","[ 41.149       45.31        21.365       37.07789248  31.83
  47.937       45.62050012  67.138       71.6         25.24648432
  20.17883572 111.11        28.645601    64.2442      44.
  32.74        47.51        57.583       26.42548828  38.321
  50.485     ]","[44.57       67.047      46.35134468 65.864      31.83       42.69022712
 40.80106288 50.3303     55.30763792 38.5003     31.2656098  81.1
 26.643      81.21       57.583      51.577      38.321      49.575
 54.4        49.302      71.14      ]"
1,"[46.69713883 46.9836475  48.45447544 46.64512622 46.61404899 46.83907252
 48.22099171 49.20147259 48.35668448 47.63367786 46.23967478 49.19840669
 46.85124248 46.07393445 46.25126145 46.55722808 46.89074073 47.32627566
 48.66717814 49.14408547 47.28913162]","[45.51725442 47.58146969 46.23456375 46.93271457 46.08799895 46.92541654
 45.68866496 46.45696099 48.94240933 46.5066679  46.27704126 45.85001468
 45.26360941 46.04011449 46.22315484 49.54371129 46.00921308 48.35097303
 46.03994098 49.07246081 45.68543363]","[48.35961031 52.5019966  46.98888567 48.06272756 48.13492992 46.38560214
 48.03506403 50.06353009 45.8849039  46.45737778 48.33201392 45.30921262
 47.54352636 45.86014638 46.01915712 50.2657187  48.33421154 49.35890719
 50.09930438 50.11935476 48.35741125]","[46.17301641 46.47671503 48.18165375 48.41320276 46.37018612 46.37041631
 50.20575523 48.5551637  45.98982438 46.21902377 48.4814369  48.40801173
 45.98991269 51.45103545 49.74401565 48.68511888 47.15988175 48.75039847
 48.80692149 48.47418839 48.31390152]","[48.29489435 46.03556719 45.57966917 50.28982467 46.41337809 47.09395268
 46.25714475 46.10631992 47.08186731 47.22239327 46.24626409 48.9251911
 49.74558077 48.3101747  45.41563227 45.74514071 45.49453357 45.67058276
 53.58229661 46.09825824 51.26486176]","[42.97523118 45.91501664 46.72837726 42.76019314 45.98369576 42.94148687
 48.22282251 45.54944841 43.73524575 44.99117307 43.18310773 43.24389751
 45.07922353 42.71434046 43.30829181 43.56188885 48.08509976 44.21673412
 43.36745161 45.59845369 48.10861337]","[50.5916329  48.27471307 46.74009653 50.64255645 45.51236961 50.12944157
 46.14350648 47.68981201 46.30242625 46.33004783 46.04546575 46.96158443
 46.95080235 48.60050731 46.05580669 45.4603667  50.40973982 46.96163139
 47.8137667  45.7349348  47.75342251]","[51.17822725 53.53829653 48.25707978 48.21597213 49.91701997 50.75879434
 48.04670178 48.12460833 48.88400232 46.05652227 48.07263164 49.76144995
 46.50500923 46.75595657 45.89646984 46.34517686 46.03007725 47.14384324
 46.50515669 45.77682798 46.12709181]","[48.76319482 45.85457443 46.61740766 46.19974424 47.03238656 46.80405003
 46.70790956 46.31970202 48.81160725 46.57270424 46.39224971 51.54780441
 46.58353079 49.21963908 48.65347215 47.24807716 45.92822214 47.37349215
 47.3189091  48.73674904 50.05602669]","[47.06464049 45.32833506 44.7182743  44.74824596 45.6931687  45.25248908
 45.53418598 48.2972904  45.26287252 46.80579977 45.3345763  48.72846788
 44.98983035 47.03823134 45.81090512 50.20919645 47.22511213 44.56616863
 46.97728655 45.8297869  48.39119409]"
