,0_fold,1_fold,2_fold,3_fold,4_fold,5_fold,6_fold,7_fold,8_fold,9_fold
0,"[29.191      66.683      80.5        31.2656098  26.9563848  42.27654152
 66.51       64.0076     38.2        56.21       26.83227912 67.0743
 40.80106288 57.01       37.07789248 31.79650632 42.75       33.65
 38.2        64.2442     34.04419808]","[36.20915272 75.8        64.38114208 39.4359004  60.71       56.21
 26.83227912 67.047      50.3303     28.19       42.1248568  35.47
 26.81       31.27939932 42.69022712 87.9        57.31       72.257
 40.0564288  51.2        35.834     ]","[ 41.149      108.5         35.9195728   35.1697      38.655
  29.1         90.91       101.51        40.0564288   57.583
  28.322       47.391       30.4         66.683       45.62050012
  95.4         31.958       66.8        128.61       104.5
  38.725     ]","[ 60.71        29.3006032   85.31        35.1697      52.41873348
  40.03574452  87.9         38.655       37.07789248  20.17883572
  46.0897      91.87        46.35134468 111.11        40.5
  44.          26.42548828  38.321       90.91        35.
  35.743     ]","[ 28.322       40.0564288   49.575      106.11        40.80106288
  37.28473528  68.321       35.47        38.49131828  56.21
  32.2998238   60.2         50.485       38.2         53.61
  67.138       17.00724612  32.65835132 108.5         21.365
  54.58      ]","[55.308      58.22       81.1        56.51       59.2756     35.834
 52.487      52.259      67.047      38.5003     30.829      28.645601
 54.4        53.61       61.21       42.69022712 56.4        56.21
 47.937      89.31       56.4       ]","[53.67       47.5        32.74       58.8297     56.51       91.2
 31.2656098  43.9        67.047      42.27654152 25.24648432 39.4359004
 38.49131828 72.257      22.184      25.69464372 56.4        37.28473528
 81.21       67.138      68.61      ]","[ 51.577      108.5         59.632       28.322       52.305
 104.5         44.57        38.2         59.2756      35.47
  35.743       46.845       46.07555428  57.583       65.864
  45.62050012  22.184       56.21        40.80106288  35.6782562
  33.7477234 ]","[ 41.149       45.31        21.365       37.07789248  31.83
  47.937       45.62050012  67.138       71.6         25.24648432
  20.17883572 111.11        28.645601    64.2442      44.
  32.74        47.51        57.583       26.42548828  38.321
  50.485     ]","[44.57       67.047      46.35134468 65.864      31.83       42.69022712
 40.80106288 50.3303     55.30763792 38.5003     31.2656098  81.1
 26.643      81.21       57.583      51.577      38.321      49.575
 54.4        49.302      71.14      ]"
1,"[25.870472 66.91312  80.76474  33.205826 28.673056 45.17261  58.29023
 57.506016 38.577915 46.09679  27.254126 57.79062  36.599472 54.85394
 38.13875  35.286785 41.936188 33.69258  36.23651  58.269474 32.032814]","[31.888577 72.95137  58.634735 39.527203 60.438866 41.249138 28.099266
 67.022285 49.260815 31.356924 44.365726 29.308372 23.81658  31.973204
 43.42346  80.835594 61.004993 66.78479  47.06489  48.305763 37.883377]","[ 50.203487  84.59045   35.155228  34.976578  38.878708  30.636269
  89.42506   93.58881   41.776867  50.56167   35.854584  46.158314
  37.05657   67.46707   49.36334   85.131065  36.07198   63.219048
 111.24319   97.95986   49.56226 ]","[ 61.504185  25.660116  82.4719    35.77839   45.76806   36.99137
  80.75469   39.70038   33.28181   19.843464  40.42385   86.82787
  41.100906 112.9332    41.42373   60.161545  25.981323  44.775326
  92.653465  45.139282  39.635166]","[ 29.63465   42.536427  50.231304 103.514534  36.681347  39.026875
  67.18849   28.356382  37.023865  52.0549    35.135082  66.76266
  50.781937  37.61494   52.34183   67.58354   20.905724  35.345047
 100.97306   28.671673  54.083763]","[53.714817 64.23088  78.48082  57.189095 61.287045 35.440445 52.22116
 51.341274 68.00661  42.852306 36.49716  30.027246 59.79562  55.474216
 57.983723 42.023106 56.78363  49.1141   44.136433 80.52847  55.398476]","[53.72295  43.680927 31.65783  56.86508  56.036213 87.352325 31.049522
 36.922863 67.422165 44.50625  25.820908 42.853554 40.225094 66.30699
 30.7614   26.299755 55.306957 38.363373 74.15313  66.97072  65.17677 ]","[ 53.05069   95.61241   45.56741   29.572708  51.035076 108.92566
  45.510826  38.246742  63.81974   30.956656  37.292126  48.71468
  43.354366  50.31804   66.27253   50.677593  30.686398  58.815903
  36.91901   35.831306  32.766277]","[ 48.5704    45.78603   27.0834    37.47992   30.355196  41.60885
  50.534977  59.972813  58.707024  23.372913  19.786367 110.59215
  29.986155  59.41738   56.135414  32.410603  49.69098   50.092476
  27.920698  40.11349   51.494534]","[53.457275 67.19736  41.713028 66.44011  30.072289 43.666546 37.746822
 50.90204  51.064857 50.87679  30.711424 78.90022  30.799938 74.47118
 52.97413  51.50843  43.310078 47.919376 61.293274 63.272373 62.25461 ]"
