RMSE,RMAE,R2,RSR,MAPE,NMBE
4.39013578383469,1.78620542788477,0.924219750447489,0.0887858597532091,6.60380432828873,-4.31860808195043
4.90217290894217,1.88696860970488,0.91738814426778,0.0839975081662713,7.55932346749976,-3.19837286837849
8.4179771874613,2.45421124830376,0.925266293351359,0.0636201297380564,10.2723784228611,-2.69856088147008
5.58822715582031,2.04052907497839,0.949880118428012,0.0796817912534592,9.13699628873063,-0.0244275898341982
3.73147170289873,1.69991029394139,0.97386699048903,0.0994114031860859,7.63362160213742,-0.0228549760544976
3.72574794394988,1.6771390992952,0.930490683469416,0.098230412090758,5.40022469285125,-0.14601633011004
3.63066955021445,1.61430806363763,0.962609838392899,0.0970264285872963,5.98729050550999,-1.646643114987
5.42351256428758,1.95682735810727,0.933831797962093,0.0787339814521719,7.92339247622131,-1.38088329924665
5.41533917213819,1.97819382005852,0.929709573772322,0.0797138033591727,8.79846327932886,-0.461031577246943
5.87198305625764,2.09252906952204,0.845418739572707,0.0777637255478738,9.22253002770218,1.40817807064098
