,Unnamed: 0,RMSE,RMAE,R2,RSR,MAPE,NMBE
0,0,4.390135783834694,1.7862054278847674,0.9242197504474892,0.11200346939030373,6.603804328288733,-4.318608081950426
1,1,4.902172908942166,1.8869686097048837,0.9173881442677804,0.11063619703106121,7.559323467499761,-3.198372868378494
2,2,8.4179771874613,2.454211248303757,0.9252662933513592,0.07970075810883083,10.272378422861134,-2.698560881470078
3,3,5.588227155820311,2.040529074978392,0.949880118428012,0.08174737051099848,9.136996288730634,-0.0244275898341981
4,4,3.7314717028987343,1.699910293941394,0.9738669904890298,0.07364454708218908,7.633621602137423,-0.0228549760544976
5,5,3.7257479439498806,1.6771390992952009,0.9304906834694158,0.11867988994924898,5.400224692851246,-0.1460163301100402
6,6,3.6306695502144537,1.61430806363763,0.962609838392899,0.08597622911709968,5.987290505509985,-1.6466431149870002
7,7,5.423512564287575,1.9568273581072717,0.9338317979620934,0.09281037610162313,7.923392476221308,-1.3808832992466484
8,8,5.415339172138191,1.9781938200585216,0.929709573772322,0.09684813464182838,8.798463279328857,-0.4610315772469431
9,9,5.871983056257639,2.0925290695220418,0.8454187395727066,0.14010871570475622,9.222530027702176,1.4081780706409772
